review_id,element_id,rating,ground_truth,predicted,score,text,reason
"RN7RYZ9MBIC42,R2N4UBCVLGVVTW,R2E80AM1QM7WZ3,R2R0FUSHO159UF,R1XLVF86V89I0C,RZUSCY8LR0F4K",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475173,4.4,Positive,Neutral,-0.0179,"Sometimes its simple solutions that come to rescue than a costly alternate from branded companies.  I had my Sony TV in perfect working condition but remote got worn out (kids handled it smoothly LOL).  When i tried to purchase original remote from Sony, i was either not able to find an exact one or the remote itself is costly.  At that point i thought to take risk with this piece of marvel and it worked like a charm.  Smooth operation and no setup needed.  I highly recommend this product.  Go for it :)25th Nov: Stopped responding to my tv. Not working great with my Sony tv. Not recommended,Useful and good quality roduct,Didn't work at all ..faulty,Don't buy.,Good 👍. . . .. .,Fast response and good quality remote.",-
"R2CR72CAK85YA7,R1J7T1CF1601BH,R3IGDXE5UAOW8I,R13C8HGBSHKCE1,R2Y7FN8MCS4PT,R3ERLO7QTMAD3L,R3IEBGTGGSPM9N,R37YEXEGR87GSQ",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475191,4.1,Positive,Neutral,-0.0161,"I'm using it for Dell 22-inch monitor and I found it difficult to fit, hence I had to visit the fabrication shop to smoothen the corners else it is really good,,Good,Quality of the product is good. But it didn't clearly suit the Samsung monitor I have. I had to remove a specific part behind the monitor and adjusted this wall mount. Till now no issue.,Product is good. I am using Benq ex2780q monitor. Holds well enough but there are only 2 places to screw it in. This makes you doubt sometimes weather this can hold up the weight of the monitor. I have been using it for the past 2 months and haven't faced any issue.Another problem with this montioe is the rubber that is used for rotating the montioe is cheap and gets broken initially only. But replaced with proper nuts and this worked fine for meFinal verdict: good monitor wall mount easily taking 5kg of weight on it.Could have been better if the rubber material and count of screw holes in the wall mount be more,Great product at reasonable rate. Very easy to install. Very sturdy product. Never feel like monitor will fall down.👍🏻,Self install a bit difficult. The plate connecting to monitor could have been removable and drop in clamp . This would make fixing a breeze,It's doing the job well. My 27"" monitor is holding it firmly on the wall.",-
"R1PBLR66RA2JLZ,R2Q6NGR94WBB6N,R2DIHIFERXYMB,R3C50JNQ3ZC6R9",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475221,4.5,Positive,Negative,-0.9808,"Everything is great. I love this.,Very good and working very nice,First of all, thanks to Amazon for listing it as a returnable item and at an effective cost of less than 3k.Coming to the device itself, the reason for purchasing it is to experience Google TV. On that account, the interface is more useful than the standard Android TV one in terms of discovery, but the listed content is not that relevant.However, it is Realme that lets the user down. The device was bug ridden from the beginning and they basically abandoned the device in 6 months, with the last software update in Feb 2022, still riddled with bugs and never to see Google TV 12.The stick heats up enough to scald you if you touch it and it stutters like crazy after usage of over a day, in part due to the lackluster A35 ARM cores which is lacking in performance compared to A53 cores present in sticks from over 7 years ago, and also due to poor RAM management.Only reason to get it would be for the price, if it is less than 3k, but be prepared to suffer through a laggy interface and the known issues of the remote failing within a few months. Still males more sense to get a Fire TV stick which is more refined and receives more updates, although the interface is a love or hate it one.For the Google TV experience, it is better to go with Google TV with Chrome cast but that costs a bomb in India, for what it offers.,Got ( used ) product.It was trapped and also proformance is twice degrade to fire stick also not sucking wifi well as computer to Fire Stick",Isu Harga
"R3ELQTJOXZNXTV,R3GJXEPLJKBJL5,R2U3H4FR5RI757,R2XK6I1NM00NTD,R7YRJ5LC06RF1,R39R4HSMGQW4PR,R1W4Z589RU74EY,RUKK2PZV0ZTGD",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475222,4.2,Positive,Negative,-0.4525,"Quality issue..,Good,Cable length is ok , quality is not good . In this price it is ok,Very good & quality product. Reasonable price alsoYour cable easy to replace.,Best quality,Good product but thickness of cable is less,It is very good product.Thank you amazon,Super product",Isu Harga
"RDLKA670FVMKY,RZZB1IDY3USBP,R30B6VRIVHWOIP,R31A5RDIAY3O0R,R26RJ6WBBMVVXJ,R1PZ0SMCXPJO9C,R3QLX0DTF1C3J7,R23GQW7DPSVOA0",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475237,4.3,Positive,Negative,-0.6542,"Good and easy to use but product life is hell short. It means you have to buy it within next six months.,Good,Better,Quality is good and working as expected.,,Decent replacement cable for my aging external hdd. Works at usb 3.0 speeds,Worst cable. Not working even after replacement. Dont buy guys Manufactured in China.,The USB cable was useless. After logging in this cable, I was not able to transfer data from one laptop too another.",Ada kata 'Tapi' (Kontras)
RQXD5SAMMPC6L,5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475270,5.0,Positive,Neutral,0.0,Quick delivery.Awesome ProductPacking was goodJust opened the productExcited to you it,-
"R98JKKNCSM7B5,R38O9HQOE1G03B,R597Z0G89GU27,RAI7NSHUQO02D,R2W5N0Y7MJX8UC,R1LK91F22JFZ41,R139XIZFXKTMW5,R1X5NW4ANBMMRM",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475290,4.0,Positive,Negative,-0.0516,"Camera and display is very poor quality and battery 🔋 is very good nothing bad,Nice phone at reasonable price.,Good,NICE,Value for money,Theek hai 🥰,Not bad,Good",Isu Harga
"R98JKKNCSM7B5,R38O9HQOE1G03B,R597Z0G89GU27,RAI7NSHUQO02D,R2W5N0Y7MJX8UC,R1LK91F22JFZ41,R139XIZFXKTMW5,R1X5NW4ANBMMRM",5:6c218a69-b37f-472b-850d-2b9772792e4a:1155174403932160538,4.0,Positive,Negative,-0.0516,"Camera and display is very poor quality and battery 🔋 is very good nothing bad,Nice phone at reasonable price.,Good,NICE,Value for money,Theek hai 🥰,Not bad,Good",Isu Harga
"R98JKKNCSM7B5,R38O9HQOE1G03B,R597Z0G89GU27,RAI7NSHUQO02D,R2W5N0Y7MJX8UC,R1LK91F22JFZ41,R139XIZFXKTMW5,R1X5NW4ANBMMRM",5:6c218a69-b37f-472b-850d-2b9772792e4a:1157426203745845786,4.0,Positive,Negative,-0.0516,"Camera and display is very poor quality and battery 🔋 is very good nothing bad,Nice phone at reasonable price.,Good,NICE,Value for money,Theek hai 🥰,Not bad,Good",Isu Harga
"R2BP8Y5OJXKJLF,R218813TNRHNSY,R3VIKEVJ5DBF5G,R2PQNCTR8TQCT4,R3FI11UEJC9ZOJ,R3ULCCZZHBNLA4,RELIQ4H7CYX2Q,R34K4FWTB5W7AY",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475354,4.1,Positive,Negative,-0.2724,"Check for offera before buying,18w charging cable,,Awesome cable!Charging, data transfer and durability is simply awesome, and there is not a single disconnection issue, which I always faced in original mi cable from box. Bought 1 more time as last cable damaged when phone fell on usb cable port as my phone is heavy and I never faced any issues so i bought one more time and didn't went for replacement as its waste of time and energy, i also have boat earphones that is also awesome..😄,Good,Charging is very slow. Forget about fast charging. Not useful at all,Cable is not fit properly on my samsung galaxy m31 type C port. If little hit happens then cable is plug it out. Otherwise length and cable quality is very nice,Works as expecte. Can charge as well as do data transfer. Ports fit well. I have been using boat cable for iphone for some years now and they are very durable.",Barang Rusak
"R3673WOUZQ8VY4,R3129KHZHX9V13,RDPHA1Q2BUYT2,R1Z655ELTMOH4N,R1J3D9HLJQKZTS,R2B7BEQ6YQOWVO,R2SF8G03AVZDBK,R9UEQQ3FCV3UD",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475790,4.3,Positive,Negative,-0.8622,"The sensors has burnt at two point of more than 3mm dia on my wrist upon wearing overnight and I have abandoned using it out of fear.  Had enclosed photos herewith.,Worst to buy, it's belt quality is totally poor, performance is average, not proper tracing of activities and battery life is too average.,Value for money,It's  good,Low batter life,Nice Smartwatch, Big Display, Long Battery Life, Max Features,Good,Good product",Sentimen Negatif Umum
"RMGE5B6FD1FS5,R1FN1REHXYLMZ,R1BL6NYV6D8W1M,RJHBMPZRSI8AJ,R144IGLWP70M8K,RHSVGQWZTK60L,R2M5S0A5M8DPEJ,RWJG2SH0FCSIY",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475801,4.1,Positive,Negative,-0.1435,"I used this mobile Last 2months overall very good i am very satisfied buying this and no lag no heat you can go for it,Nice phone looking good and over all good for this price,good,Everything is good, but the voice of recorded call is very low.,Fentastik,Good. But brightness level is naturally low in this phone brand,Gud,It lags and hangs a lot and there are too many ads and inbuilt functions in the phone which are very annoying.",Isu Harga
"R3FQMPLCZV75E,R3CXYW32DE2XCE,R3VMIAJI5S2S9M,R33BXR8IIASQCO,R31X014WG1MEMQ,RNZ3UOYY7B2N0,R28IU0P7UBCRG6,R34GOU1HWA68GA",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475819,4.0,Positive,Negative,-0.4467,"Good for the price,Nice one,Just OK for the price...,BATTERY NOT WORKING,Comfortable and small to useIssue in power supply that melts the charger cable of smart watch,,Pasand,Sleek etc yes, but mine stopped working after 7 months.  It has a moulded outer casing ie no screws to open/repair if it stops working. Replace it in warranty else throw it away..Buy at your own risk.High time Indian consumers got #righttorepair",Isu Harga
"R3FQMPLCZV75E,R3CXYW32DE2XCE,R3VMIAJI5S2S9M,R33BXR8IIASQCO,R31X014WG1MEMQ,RNZ3UOYY7B2N0,R28IU0P7UBCRG6,R34GOU1HWA68GA",5:6c218a69-b37f-472b-850d-2b9772792e4a:1155174403932161067,4.0,Positive,Negative,-0.4467,"Good for the price,Nice one,Just OK for the price...,BATTERY NOT WORKING,Comfortable and small to useIssue in power supply that melts the charger cable of smart watch,,Pasand,Sleek etc yes, but mine stopped working after 7 months.  It has a moulded outer casing ie no screws to open/repair if it stops working. Replace it in warranty else throw it away..Buy at your own risk.High time Indian consumers got #righttorepair",Isu Harga
"R2K3IBMM9I3HQH,RL1H11C1J4W4U,R26GYIVCHR44IY,R2X4UKYY57A9JX,R3J71TYH2ISEUY,R3EX53W4D2TLR9,REY9RHIDKB28T,R2IYAMOBWJY5JC",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475859,4.5,Positive,Negative,-0.838,"I'm using this mouse from more than 6 months now and It's working great.but the only problem I faced is the big size of it.It looks like the old ball mouse which is quite big in size.Good for gaming by the way.,Working good,by far the best mouse I've used (writing this after 3 days). suits well for daily use; could be a tad bit bigger ...,Been using this mouse for the last 4 years both in office and at home. Suits my hand the best, tried some gaming mouse at 500-800 range but the feel is not good and my wrist starts to hurt on those cheap mice. This one is the father of all mice in that sense as it ticks all the boxes for me. Obviously you cant expect some god like gaming performance but its decent and for everything else it's the best.,Item is good.  No issues,It's Really worthwhile,A bit short in height, clicks and scroll good for home and office use,Easy to use. Rough. Lasts for 4 years+. Affordable.",Ada kata 'Tapi' (Kontras)
"RMJTIHWOEVJ2S,R2EG04BF78FCDN,R2XS7O4CK0KEE5,RDQ894LVO01UH,RO7RFHI6XIDYE,R3J3S08AQQCGNM,R52K5GWEQ070L,R3LXH31GPSHNYD",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475896,4.2,Positive,Negative,-0.2614,"Nice portable .. liked it..,Reducing one star as packaging was not good.Mouse is big.If you prefer small and travel friendly mice go for someother design.,The mouse looks good, and it is even easy to hold and use due to to it's design. The only issue I found out was with the battery port, the cover for the battery doesn't come off easily and that's the worst part. Also, the battery cover has some opening provided, not sure why.,Ok worthy,Good product,Good deal but big size,Noisy while scrolling,At 1st they send me a used one with missing adapter, than replaced with a new one, previously i was using logi m190 full-size mouse , its wheel stopped working properly within a year ,  thats why i bought this full-size wireless mouse hp x200 @ ₹488 , with 3 years warrenty, clicks are soft on logi also they have increased the price of it from 600 to 1100, but there is no use if it doesn't work properly, let's see ...",Isu Harga
"R15X8TSLB82W2J,R1EI6L4P0NUWLK,R1XPA9CXQ07FQW,RGBXMT5Q7DSGO,R2SRH5XZ5MY04L,R22XW48SVD9N5F,RAYTSZHN0P9H5,R26ULECYB1ZKE1",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475982,4.0,Positive,Negative,-0.7564,"Typing is easy, comfortable and fast but keyboard is not good for gaming. The buttons when pressed and held down for long time can remain stuck when released. The button itself doesn't stay down but it still keeps working until I press it again. Died in games many times by falling from high places.I had this same issue in my old hp pavilion laptop keyboard too actually. Something they should have a look into.,I am using 6 month.This is now performing good and smooth.very good product.,Good product,Lack of led for power level,  caps and numlock is a big headache.,keyboard doesn't have that much tactile feel like my wired HP keyboard. definitely looks good & works perfectly. mouse is a bit small compared to wired ones. not sure about battery. just started using it.,I buyed it,I am working with it, and it's good.,Nice product",Ada kata 'Tapi' (Kontras)
"R2ATT3WQL0UB7P,R1VHI2ZGJSCFVO,R1UHC2M2KPN7W4,RL2IQ53WUNMXA,R2ZU0WUMZ3CLX6,R3C01TBTCD6UB0,R17G6J6XU7GMYG,R2TLAX7VNYS983",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118476034,4.2,Positive,Negative,-0.9273,"I've been using the watch for a while now and I got to say I love it. The battery lasts around 4-5 days not 10 days, you do get around 10 day battery life if you disable all features of the Watch. Overall I like the call quality and display touch.,I got this product today and watch is great in budget and performance there's only one major problem that the button is not good but the other things are like speaker mic display etc. Are good.,The watch is good but the product that I got was defective after talking to the fire bolt company they give me new watch watch is value for money go for it.,The watch is stylish sleek and built quality is good.in this price range it's a catch,All over good but volume increase and decrease not working while play the music.,I gv this feedback after using 3 months.. good watch. Lekin jab recive kia, watch on tha☹️ pm me Alarm lagana bohut zaroori hota he. But nhi lagte he. Sirf am me lga skte hai. very disappointed😖 baki battery backup is good 👍 looks achcha hai👌comfortable hai,It’s a good watch but not switching on right now due to some issue,Amazing watch amazing colour! Just bought yesterday, will share feedback again after the usage.",Isu Harga
"R1NXQAUJ3LO3OW,R1MWEBTA35BES8,R2OTG33BME1DP2,R2ADKUIQDNC4CS,RXCSU83UL85LG,R1IU2CXD6J2VT9,RXCA5L1FET3BK,R2PXB1JH0VU4MO",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118476090,4.4,Positive,Negative,-0.5688,"Nice combination for color sketches,It glides great but is sometimes not..,Smells bad when you open it,Cap grip not good,All good just the little messed up,Gel ink is good, but the cap isn't tight enough, keeps coming off,I literally like the flow which is smooth like butter. Plus this also contain golden and silver shades 👍,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/71J4WF7wTSL._SY88.jpg",Ada kata 'Tapi' (Kontras)
